variable,linear_regression,partial_dependence,do_calculus,causal_forest,avg_impact
treatment,1.0134023163714423,7.212320822024124,4.660569518916291,0.6198601470895497,3.3765382011003524
y_cfactual,0.4293394396809664,0.777115149123787,0.4726687405876698,1.0,0.6697808323481058
mu0,0.7144326480940998,0.5841778141392974,0.9436071391689352,0.24467663080628185,0.6217235580521536
mu1,0.5001665819812259,2.2890315791995297,2.3975884821251396,1.0,1.5466966608264738
x1,0.08509267912407342,0.058188982426679525,0.09623449425895003,0.5859787899858662,0.2063737364488923
x2,0.05469592621186374,0.10656603504260184,0.11923471686017298,1.0,0.32012416952865963
x3,0.00011456299168603313,0.02624776026675708,0.00024974229019219884,1.0,0.2566530163871588
x4,0.11524796633820576,0.3061157031113069,0.2512355048494655,1.0,0.4181497935747446
x5,0.09133890444479291,0.205744666579864,0.19911480002382762,1.0,0.37404959276212113
x6,0.4974501363386151,1.014540348774295,1.084419448875226,1.0,0.899102483497034
x7,0.04741623891144507,0.020327708694346337,0.20667390063724886,1.0,0.3186044620607601
x8,0.027917737598698797,0.019719686383045932,0.20869609602169442,1.0,0.3140833800008598
x9,0.22044050852407515,0.11228084052764911,0.9612858478077758,1.0,0.573501799214875
x10,0.16373397812260765,0.08409533789844409,0.741284663806668,1.0,0.49727849495692994
x11,0.072239847866408,0.042283415425237475,0.3548623555445992,1.0,0.36734640470906116
x12,0.0540368943887733,0.03150088648657522,0.2843882431029096,1.0,0.3424815059945645
x13,0.019945636840828722,0.011060482949245063,0.0905920760045519,1.0,0.28039954894865643
x14,0.07200280260335967,0.03449336854412133,0.3145695084540498,1.0,0.3552664199003827
x15,0.20334599554702426,0.14430786537496068,1.2745325144045085,1.0,0.6555465938316234
x16,0.09318533875817495,1.561276200563263,1.0339626276000136,1.0,0.9221060417303628
x17,0.1525003331385506,0.07828763090393964,0.6766053873901234,1.0,0.4768483378581534
x18,0.04291843064738032,1.592015815844536,0.7025991425711223,0.2374670343629127,0.6437501058564878
x19,0.026427372731745363,0.019000217494935592,0.0542075507764781,0.12141216487688769,0.05526182647001168
x20,0.013108458946688087,0.012097931731893085,0.08351262807043545,1.0,0.27717975468725414
x21,0.014662360072037287,0.006793735163591696,0.3459762202608196,0.05000472820136503,0.1043592609244534
x22,0.10850112679223292,0.09904636380714349,0.8631469324278328,1.0,0.5176736057568023
x23,0.11818634752523502,0.0990987035108297,0.8713481315035199,0.4685234234725946,0.3892891515030448
x24,0.11399705938686883,0.08411653944157356,0.7420702079291932,1.0,0.4850459516894089
x25,0.12272931956175492,0.08273957346847582,0.733093651207988,1.0,0.48464063605955465
